model,repeat,k,full,top_k
gigapath,43,500,0.4603174603174603,0.4523809523809524
gigapath,43,1000,0.4603174603174603,0.4047619047619047
gigapath,44,20,0.34920634920634913,0.3968253968253968
gigapath,44,50,0.34920634920634913,0.3968253968253968
gigapath,44,100,0.34920634920634913,0.30158730158730157
gigapath,44,200,0.34920634920634913,0.30158730158730157
gigapath,44,500,0.34920634920634913,0.34920634920634913
gigapath,44,1000,0.34920634920634913,0.34920634920634913
gigapath,45,20,0.5079365079365079,0.4523809523809524
gigapath,45,50,0.5079365079365079,0.3968253968253968
gigapath,45,100,0.5079365079365079,0.4444444444444444
gigapath,45,200,0.5079365079365079,0.4523809523809524
gigapath,45,500,0.5079365079365079,0.4523809523809524
gigapath,45,1000,0.5079365079365079,0.4603174603174603
gigapath,46,20,0.34920634920634913,0.38888888888888884
gigapath,46,50,0.34920634920634913,0.3968253968253968
gigapath,46,100,0.34920634920634913,0.34920634920634913
gigapath,46,200,0.34920634920634913,0.30158730158730157
gigapath,46,500,0.34920634920634913,0.25396825396825395
gigapath,46,1000,0.34920634920634913,0.30158730158730157
gigapath,47,20,0.4682539682539682,0.3968253968253968
gigapath,47,50,0.4682539682539682,0.611111111111111
gigapath,47,100,0.4682539682539682,0.4603174603174603
gigapath,47,200,0.4682539682539682,0.5158730158730158
gigapath,47,500,0.4682539682539682,0.4682539682539682
gigapath,47,1000,0.4682539682539682,0.42063492063492064
gigapath,48,20,0.5158730158730158,0.4603174603174603
gigapath,48,50,0.5158730158730158,0.5079365079365079
gigapath,48,100,0.5158730158730158,0.4603174603174603
gigapath,48,200,0.5158730158730158,0.5079365079365079
gigapath,48,500,0.5158730158730158,0.5634920634920635
gigapath,48,1000,0.5158730158730158,0.5634920634920635
gigapath,49,20,0.4682539682539682,0.4047619047619048
gigapath,49,50,0.4682539682539682,0.4126984126984126
gigapath,49,100,0.4682539682539682,0.4126984126984126
gigapath,49,200,0.4682539682539682,0.373015873015873
gigapath,49,500,0.4682539682539682,0.4682539682539682
gigapath,49,1000,0.4682539682539682,0.4682539682539682
gigapath,50,20,0.4047619047619047,0.3412698412698412
gigapath,50,50,0.4047619047619047,0.34920634920634913
gigapath,50,100,0.4047619047619047,0.4047619047619047
gigapath,50,200,0.4047619047619047,0.4523809523809524
gigapath,50,500,0.4047619047619047,0.4047619047619047
gigapath,50,1000,0.4047619047619047,0.4047619047619047
uni2,1,20,0.4047619047619048,0.4444444444444444
uni2,1,50,0.4047619047619048,0.5079365079365079
uni2,1,100,0.4047619047619048,0.611111111111111
uni2,1,200,0.4047619047619048,0.4523809523809524
uni2,1,500,0.4047619047619048,0.4047619047619048
uni2,1,1000,0.4047619047619048,0.4047619047619048
uni2,2,20,0.6031746031746031,0.3095238095238095
uni2,2,50,0.6031746031746031,0.6031746031746031
uni2,2,100,0.6031746031746031,0.6587301587301587
uni2,2,200,0.6031746031746031,0.6031746031746031
uni2,2,500,0.6031746031746031,0.6031746031746031
uni2,2,1000,0.6031746031746031,0.6031746031746031
uni2,3,20,0.5555555555555555,0.4523809523809524
uni2,3,50,0.5555555555555555,0.5555555555555555
uni2,3,100,0.5555555555555555,0.5555555555555555
uni2,3,200,0.5555555555555555,0.5555555555555555
uni2,3,500,0.5555555555555555,0.5555555555555555
uni2,3,1000,0.5555555555555555,0.5555555555555555
uni2,4,20,0.5079365079365079,0.4523809523809524
uni2,4,50,0.5079365079365079,0.5079365079365079
uni2,4,100,0.5079365079365079,0.6031746031746031
uni2,4,200,0.5079365079365079,0.611111111111111
uni2,4,500,0.5079365079365079,0.6031746031746031
uni2,4,1000,0.5079365079365079,0.5079365079365079
uni2,5,20,0.5,0.34920634920634924
uni2,5,50,0.5,0.4444444444444444
uni2,5,100,0.5,0.5
uni2,5,200,0.5,0.5
uni2,5,500,0.5,0.5
uni2,5,1000,0.5,0.5
uni2,6,20,0.5555555555555556,0.31746031746031744
uni2,6,50,0.5555555555555556,0.5634920634920635
uni2,6,100,0.5555555555555556,0.5079365079365079
uni2,6,200,0.5555555555555556,0.611111111111111
uni2,6,500,0.5555555555555556,0.5555555555555556
uni2,6,1000,0.5555555555555556,0.5555555555555556
uni2,7,20,0.611111111111111,0.5
uni2,7,50,0.611111111111111,0.5555555555555555
uni2,7,100,0.611111111111111,0.5555555555555555
uni2,7,200,0.611111111111111,0.6587301587301587
uni2,7,500,0.611111111111111,0.5476190476190476
uni2,7,1000,0.611111111111111,0.5555555555555556
uni2,8,20,0.5476190476190477,0.41269841269841273
uni2,8,50,0.5476190476190477,0.5555555555555556
uni2,8,100,0.5476190476190477,0.5555555555555556
uni2,8,200,0.5476190476190477,0.5555555555555556
uni2,8,500,0.5476190476190477,0.5555555555555556
uni2,8,1000,0.5476190476190477,0.5476190476190477
uni2,9,20,0.6031746031746031,0.4603174603174603
uni2,9,50,0.6031746031746031,0.611111111111111
uni2,9,100,0.6031746031746031,0.5634920634920635
uni2,9,200,0.6031746031746031,0.611111111111111
uni2,9,500,0.6031746031746031,0.6031746031746031
uni2,9,1000,0.6031746031746031,0.6031746031746031
uni2,10,20,0.5079365079365079,0.5079365079365079
uni2,10,50,0.5079365079365079,0.5634920634920635
uni2,10,100,0.5079365079365079,0.611111111111111
uni2,10,200,0.5079365079365079,0.5555555555555556
uni2,10,500,0.5079365079365079,0.4603174603174603
uni2,10,1000,0.5079365079365079,0.5079365079365079
uni2,11,20,0.611111111111111,0.31746031746031744
uni2,11,50,0.611111111111111,0.5079365079365079
uni2,11,100,0.611111111111111,0.5079365079365079
uni2,11,200,0.611111111111111,0.611111111111111
uni2,11,500,0.611111111111111,0.6031746031746031
uni2,11,1000,0.611111111111111,0.611111111111111
uni2,12,20,0.4523809523809524,0.30158730158730157
