split,k,gigapath_full_balacc,gigapath_full_f1,gigapath_topk_balacc,gigapath_topk_f1,uni2_full_balacc,uni2_full_f1,uni2_topk_balacc,uni2_topk_f1,virchow2_full_balacc,virchow2_full_f1,virchow2_topk_balacc,virchow2_topk_f1
17,200,0.6666666666666666,0.5,0.3333333333333333,0.2222222222222222,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.5
17,500,0.6666666666666666,0.5,0.6666666666666666,0.4444444444444444,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.5
17,1000,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.5
17,1500,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.5
18,20,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0,0.8333333333333334,0.7777777777777777
18,50,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0,1.0,1.0
18,100,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0
18,200,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0
18,500,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0
18,1000,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0
18,1500,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0
19,20,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
19,50,0.0,0.0,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
19,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
19,200,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
19,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
19,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
19,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
20,20,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
20,50,0.6666666666666666,0.5,0.0,0.0,0.16666666666666666,0.13333333333333333,0.5,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
20,100,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.5,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
20,200,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.13333333333333333,0.8333333333333334,0.7777777777777777,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
20,500,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
20,1000,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
20,1500,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222
21,20,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
21,50,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
21,100,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.3333333333333333,0.13333333333333333
21,200,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
21,500,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.3333333333333333,0.13333333333333333
21,1000,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
21,1500,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
