model,repeat,k,full,top_k,full_f1,top_k_f1
gigapath,22,200,0.5634920634920635,0.4047619047619048,0.5445632798573975,0.40277777777777773
gigapath,22,500,0.5634920634920635,0.4603174603174603,0.5445632798573975,0.4444444444444444
gigapath,22,1000,0.5634920634920635,0.5634920634920635,0.5445632798573975,0.5445632798573975
gigapath,22,1500,0.5634920634920635,0.5634920634920635,0.5445632798573975,0.5445632798573975
gigapath,23,20,0.5158730158730158,0.30158730158730157,0.49059011164274313,0.2881701631701632
gigapath,23,50,0.5158730158730158,0.5079365079365079,0.49059011164274313,0.5
gigapath,23,100,0.5158730158730158,0.4603174603174603,0.49059011164274313,0.45483405483405476
gigapath,23,200,0.5158730158730158,0.4126984126984126,0.49059011164274313,0.3811188811188811
gigapath,23,500,0.5158730158730158,0.5158730158730158,0.49059011164274313,0.483957219251337
gigapath,23,1000,0.5158730158730158,0.5158730158730158,0.49059011164274313,0.49059011164274313
gigapath,23,1500,0.5158730158730158,0.5158730158730158,0.49059011164274313,0.49059011164274313
gigapath,24,20,0.4682539682539682,0.24603174603174605,0.4185185185185185,0.24017094017094018
gigapath,24,50,0.4682539682539682,0.3968253968253968,0.4185185185185185,0.3982905982905984
gigapath,24,100,0.4682539682539682,0.3412698412698412,0.4185185185185185,0.35353535353535354
gigapath,24,200,0.4682539682539682,0.4126984126984126,0.4185185185185185,0.3888888888888889
gigapath,24,500,0.4682539682539682,0.4682539682539682,0.4185185185185185,0.42335115864527634
gigapath,24,1000,0.4682539682539682,0.4126984126984126,0.4185185185185185,0.38413547237076645
gigapath,24,1500,0.4682539682539682,0.4126984126984126,0.4185185185185185,0.38413547237076645
gigapath,25,20,0.4603174603174603,0.5,0.4511784511784511,0.5079365079365079
gigapath,25,50,0.4603174603174603,0.4523809523809524,0.4511784511784511,0.45054945054945056
gigapath,25,100,0.4603174603174603,0.4047619047619048,0.4511784511784511,0.40256410256410263
gigapath,25,200,0.4603174603174603,0.4603174603174603,0.4511784511784511,0.44979203802733214
gigapath,25,500,0.4603174603174603,0.4603174603174603,0.4511784511784511,0.44979203802733214
gigapath,25,1000,0.4603174603174603,0.4603174603174603,0.4511784511784511,0.4511784511784511
gigapath,25,1500,0.4603174603174603,0.4603174603174603,0.4511784511784511,0.4511784511784511
gigapath,26,20,0.4523809523809524,0.4523809523809524,0.45384615384615384,0.45384615384615384
gigapath,26,50,0.4523809523809524,0.29365079365079366,0.45384615384615384,0.2977855477855478
