repeat,fold,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
35,2,0.0,0.0,0.0,0.25,0.3333333333333333,0.13333333333333333
35,3,0.25,0.16666666666666666,0.13333333333333333,0.25,0.3333333333333333,0.16666666666666666
35,4,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
35,5,0.25,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0
36,1,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
36,2,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.2222222222222222
36,3,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
36,4,0.5,0.6666666666666666,0.4444444444444444,0.75,0.6666666666666666,0.6
36,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
37,1,0.0,0.0,0.0,0.0,0.0,0.0
37,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
37,3,0.25,0.16666666666666666,0.2222222222222222,0.5,0.5,0.38888888888888884
37,4,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
37,5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.16666666666666666
38,1,0.5,0.5,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
38,2,0.25,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0
38,3,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.38888888888888884
38,4,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
38,5,0.25,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0
39,1,0.0,0.0,0.0,0.0,0.0,0.0
39,2,0.25,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0
39,3,0.5,0.5,0.38888888888888884,0.0,0.0,0.0
39,4,0.25,0.3333333333333333,0.2222222222222222,0.5,0.5,0.38888888888888884
39,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
40,1,0.0,0.0,0.0,0.0,0.0,0.0
40,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.13333333333333333
40,3,0.5,0.5,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
40,4,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
40,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
41,1,0.0,0.0,0.0,0.25,0.3333333333333333,0.13333333333333333
41,2,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
41,3,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
41,4,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
41,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
42,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
42,2,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.16666666666666666
42,3,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.13333333333333333
42,4,0.5,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0
42,5,0.0,0.0,0.0,0.0,0.0,0.0
43,1,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.13333333333333333
43,2,0.5,0.3333333333333333,0.26666666666666666,0.5,0.5,0.38888888888888884
43,3,0.5,0.5,0.5,0.5,0.5,0.38888888888888884
43,4,0.0,0.0,0.0,0.0,0.0,0.0
43,5,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.13333333333333333
44,1,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.13333333333333333
44,2,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
44,3,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.16666666666666666
44,4,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
44,5,0.0,0.0,0.0,0.25,0.16666666666666666,0.16666666666666666
45,1,0.25,0.3333333333333333,0.2222222222222222,0.5,0.6666666666666666,0.4444444444444444
45,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
45,3,0.25,0.16666666666666666,0.16666666666666666,0.5,0.5,0.38888888888888884
45,4,0.0,0.0,0.0,0.0,0.0,0.0
45,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.5,0.38888888888888884
46,1,0.0,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666
46,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.13333333333333333
46,3,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
46,4,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.13333333333333333
46,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
47,1,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666
47,2,0.75,0.6666666666666666,0.5555555555555555,0.5,0.5,0.38888888888888884
47,3,0.25,0.3333333333333333,0.13333333333333333,0.5,0.5,0.38888888888888884
47,4,0.0,0.0,0.0,0.0,0.0,0.0
47,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
48,1,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.4444444444444444
48,2,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
