repeat,fold,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
19,2,0.5,0.5,0.4444444444444444,0.25,0.3333333333333333,0.2222222222222222
19,3,0.5,0.5,0.4444444444444444,0.25,0.16666666666666666,0.16666666666666666
19,4,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
19,5,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.2222222222222222
20,1,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.5
20,2,0.75,0.6666666666666666,0.5555555555555555,0.25,0.16666666666666666,0.16666666666666666
20,3,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
20,4,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
20,5,0.25,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0
21,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
21,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
21,3,0.5,0.5,0.38888888888888884,0.75,0.8333333333333334,0.7777777777777777
21,4,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
21,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.5,0.38888888888888884
22,1,0.5,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.2222222222222222
22,2,0.25,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5
22,3,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
22,4,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
22,5,0.25,0.16666666666666666,0.2222222222222222,0.25,0.3333333333333333,0.13333333333333333
23,1,0.0,0.0,0.0,0.0,0.0,0.0
23,2,0.5,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0
23,3,0.5,0.5,0.4444444444444444,0.5,0.3333333333333333,0.26666666666666666
23,4,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
23,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.4444444444444444
24,1,0.5,0.5,0.5,0.5,0.5,0.4444444444444444
