model,repeat,accuracy,balanced_accuracy,macro_f1,train_balanced_accuracy
virchow2,41,0.3,0.29365079365079366,0.2846153846153846,1.0
virchow2,42,0.35,0.34920634920634913,0.347985347985348,1.0
virchow2,43,0.5,0.5,0.5186147186147186,1.0
virchow2,44,0.35,0.34920634920634913,0.347985347985348,1.0
virchow2,45,0.35,0.3412698412698412,0.3412698412698412,1.0
virchow2,46,0.45,0.4523809523809524,0.4523809523809524,1.0
virchow2,47,0.3,0.30952380952380953,0.25833333333333336,1.0
virchow2,48,0.4,0.39682539682539675,0.39682539682539675,1.0
virchow2,49,0.4,0.4047619047619048,0.3968253968253968,1.0
virchow2,50,0.35,0.34920634920634913,0.347985347985348,1.0
dummy,1,0.25,0.23809523809523805,0.19415204678362574,
dummy,2,0.25,0.23809523809523805,0.19415204678362574,
dummy,3,0.25,0.23809523809523805,0.19415204678362574,
dummy,4,0.25,0.23809523809523805,0.19415204678362574,
dummy,5,0.25,0.23809523809523805,0.19415204678362574,
dummy,6,0.25,0.23809523809523805,0.19415204678362574,
dummy,7,0.25,0.23809523809523805,0.19415204678362574,
dummy,8,0.25,0.23809523809523805,0.19415204678362574,
dummy,9,0.25,0.23809523809523805,0.19415204678362574,
dummy,10,0.25,0.23809523809523805,0.19415204678362574,
dummy,11,0.25,0.23809523809523805,0.19415204678362574,
dummy,12,0.25,0.23809523809523805,0.19415204678362574,
dummy,13,0.25,0.23809523809523805,0.19415204678362574,
dummy,14,0.25,0.23809523809523805,0.19415204678362574,
dummy,15,0.25,0.23809523809523805,0.19415204678362574,
dummy,16,0.25,0.23809523809523805,0.19415204678362574,
dummy,17,0.25,0.23809523809523805,0.19415204678362574,
dummy,18,0.25,0.23809523809523805,0.19415204678362574,
dummy,19,0.25,0.23809523809523805,0.19415204678362574,
dummy,20,0.25,0.23809523809523805,0.19415204678362574,
dummy,21,0.25,0.23809523809523805,0.19415204678362574,
dummy,22,0.25,0.23809523809523805,0.19415204678362574,
dummy,23,0.25,0.23809523809523805,0.19415204678362574,
dummy,24,0.25,0.23809523809523805,0.19415204678362574,
dummy,25,0.25,0.23809523809523805,0.19415204678362574,
dummy,26,0.25,0.23809523809523805,0.19415204678362574,
dummy,27,0.25,0.23809523809523805,0.19415204678362574,
dummy,28,0.25,0.23809523809523805,0.19415204678362574,
dummy,29,0.25,0.23809523809523805,0.19415204678362574,
dummy,30,0.25,0.23809523809523805,0.19415204678362574,
dummy,31,0.25,0.23809523809523805,0.19415204678362574,
dummy,32,0.25,0.23809523809523805,0.19415204678362574,
dummy,33,0.25,0.23809523809523805,0.19415204678362574,
dummy,34,0.25,0.23809523809523805,0.19415204678362574,
dummy,35,0.25,0.23809523809523805,0.19415204678362574,
dummy,36,0.25,0.23809523809523805,0.19415204678362574,
dummy,37,0.25,0.23809523809523805,0.19415204678362574,
