model,repeat,fold,accuracy,balanced_accuracy,macro_f1
gigapath,40,2,0.25,0.3333333333333333,0.16666666666666666
gigapath,40,3,0.5,0.5,0.4444444444444444
gigapath,40,4,0.5,0.6666666666666666,0.5
gigapath,40,5,0.5,0.5,0.4444444444444444
gigapath,41,1,0.5,0.3333333333333333,0.26666666666666666
gigapath,41,2,0.25,0.16666666666666666,0.16666666666666666
gigapath,41,3,0.0,0.0,0.0
gigapath,41,4,0.25,0.3333333333333333,0.2222222222222222
gigapath,41,5,0.25,0.3333333333333333,0.2222222222222222
gigapath,42,1,0.5,0.5,0.38888888888888884
gigapath,42,2,0.5,0.5,0.38888888888888884
gigapath,42,3,0.25,0.3333333333333333,0.13333333333333333
gigapath,42,4,0.5,0.6666666666666666,0.5
gigapath,42,5,0.0,0.0,0.0
gigapath,43,1,0.5,0.5,0.5
gigapath,43,2,0.5,0.3333333333333333,0.26666666666666666
gigapath,43,3,0.75,0.8333333333333334,0.7777777777777777
gigapath,43,4,0.25,0.3333333333333333,0.16666666666666666
gigapath,43,5,0.5,0.5,0.38888888888888884
gigapath,44,1,0.25,0.3333333333333333,0.2222222222222222
gigapath,44,2,0.25,0.16666666666666666,0.16666666666666666
gigapath,44,3,0.5,0.5,0.4444444444444444
gigapath,44,4,0.5,0.5,0.38888888888888884
gigapath,44,5,0.25,0.16666666666666666,0.2222222222222222
gigapath,45,1,0.5,0.5,0.38888888888888884
gigapath,45,2,0.5,0.5,0.38888888888888884
gigapath,45,3,0.25,0.3333333333333333,0.16666666666666666
gigapath,45,4,0.25,0.16666666666666666,0.16666666666666666
gigapath,45,5,0.75,0.8333333333333334,0.7777777777777777
gigapath,46,1,0.5,0.5,0.38888888888888884
gigapath,46,2,0.75,0.8333333333333334,0.7777777777777777
gigapath,46,3,0.25,0.3333333333333333,0.16666666666666666
gigapath,46,4,0.25,0.3333333333333333,0.2222222222222222
gigapath,46,5,0.25,0.3333333333333333,0.2222222222222222
gigapath,47,1,0.5,0.3333333333333333,0.2222222222222222
gigapath,47,2,0.75,0.6666666666666666,0.5555555555555555
gigapath,47,3,0.25,0.3333333333333333,0.13333333333333333
gigapath,47,4,0.25,0.16666666666666666,0.16666666666666666
gigapath,47,5,0.5,0.6666666666666666,0.4444444444444444
gigapath,48,1,0.5,0.6666666666666666,0.4444444444444444
gigapath,48,2,0.5,0.5,0.38888888888888884
gigapath,48,3,0.5,0.5,0.38888888888888884
gigapath,48,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,48,5,0.25,0.3333333333333333,0.16666666666666666
gigapath,49,1,0.5,0.3333333333333333,0.3333333333333333
gigapath,49,2,0.5,0.5,0.38888888888888884
gigapath,49,3,0.25,0.16666666666666666,0.13333333333333333
gigapath,49,4,0.5,0.6666666666666666,0.5
gigapath,49,5,0.5,0.5,0.38888888888888884
gigapath,50,1,0.5,0.5,0.5
gigapath,50,2,0.5,0.5,0.4444444444444444
gigapath,50,3,0.25,0.3333333333333333,0.2222222222222222
gigapath,50,4,0.75,0.8333333333333334,0.7777777777777777
gigapath,50,5,0.0,0.0,0.0
uni_v2,1,1,0.5,0.5,0.38888888888888884
uni_v2,1,2,0.25,0.16666666666666666,0.2222222222222222
uni_v2,1,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,1,4,0.25,0.3333333333333333,0.13333333333333333
uni_v2,1,5,0.5,0.5,0.38888888888888884
uni_v2,2,1,0.5,0.3333333333333333,0.26666666666666666
uni_v2,2,2,0.5,0.5,0.38888888888888884
uni_v2,2,3,0.5,0.3333333333333333,0.26666666666666666
uni_v2,2,4,0.5,0.5,0.38888888888888884
uni_v2,2,5,0.75,0.6666666666666666,0.6
uni_v2,3,1,0.75,0.6666666666666666,0.6
uni_v2,3,2,0.5,0.5,0.38888888888888884
uni_v2,3,3,0.5,0.5,0.4444444444444444
uni_v2,3,4,0.5,0.5,0.5
uni_v2,3,5,0.5,0.5,0.4444444444444444
uni_v2,4,1,0.5,0.5,0.4444444444444444
uni_v2,4,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,4,3,0.75,0.6666666666666666,0.5555555555555555
uni_v2,4,4,0.0,0.0,0.0
uni_v2,4,5,0.25,0.16666666666666666,0.13333333333333333
uni_v2,5,1,0.25,0.3333333333333333,0.13333333333333333
uni_v2,5,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,5,3,0.5,0.5,0.38888888888888884
uni_v2,5,4,0.5,0.6666666666666666,0.5
uni_v2,5,5,0.5,0.6666666666666666,0.4444444444444444
uni_v2,6,1,0.5,0.3333333333333333,0.3333333333333333
uni_v2,6,2,0.5,0.3333333333333333,0.26666666666666666
uni_v2,6,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,6,4,0.5,0.3333333333333333,0.2222222222222222
uni_v2,6,5,0.5,0.6666666666666666,0.5
uni_v2,7,1,0.5,0.6666666666666666,0.5
uni_v2,7,2,0.25,0.16666666666666666,0.16666666666666666
uni_v2,7,3,0.5,0.5,0.4444444444444444
uni_v2,7,4,0.5,0.5,0.38888888888888884
uni_v2,7,5,0.5,0.6666666666666666,0.4444444444444444
uni_v2,8,1,0.5,0.3333333333333333,0.26666666666666666
uni_v2,8,2,0.5,0.5,0.4444444444444444
uni_v2,8,3,0.25,0.16666666666666666,0.13333333333333333
uni_v2,8,4,0.5,0.3333333333333333,0.26666666666666666
uni_v2,8,5,0.75,0.8333333333333334,0.7777777777777777
uni_v2,9,1,0.5,0.5,0.38888888888888884
uni_v2,9,2,0.5,0.5,0.38888888888888884
uni_v2,9,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,9,4,0.75,0.8333333333333334,0.7777777777777777
uni_v2,9,5,0.5,0.6666666666666666,0.4444444444444444
uni_v2,10,1,0.5,0.3333333333333333,0.26666666666666666
uni_v2,10,2,0.5,0.5,0.5
uni_v2,10,3,0.25,0.16666666666666666,0.16666666666666666
uni_v2,10,4,0.25,0.16666666666666666,0.16666666666666666
uni_v2,10,5,0.75,0.8333333333333334,0.7777777777777777
uni_v2,11,1,0.25,0.16666666666666666,0.16666666666666666
uni_v2,11,2,0.5,0.5,0.5
uni_v2,11,3,1.0,1.0,1.0
uni_v2,11,4,0.75,0.6666666666666666,0.6
uni_v2,11,5,0.5,0.5,0.38888888888888884
uni_v2,12,1,0.5,0.5,0.38888888888888884
uni_v2,12,2,0.25,0.16666666666666666,0.13333333333333333
uni_v2,12,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,12,4,0.5,0.5,0.5
uni_v2,12,5,0.5,0.6666666666666666,0.5
uni_v2,13,1,0.25,0.16666666666666666,0.16666666666666666
uni_v2,13,2,0.5,0.5,0.4444444444444444
uni_v2,13,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,13,4,0.5,0.5,0.38888888888888884
uni_v2,13,5,0.25,0.3333333333333333,0.2222222222222222
uni_v2,14,1,0.25,0.16666666666666666,0.16666666666666666
uni_v2,14,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,14,3,0.5,0.5,0.4444444444444444
uni_v2,14,4,0.5,0.5,0.38888888888888884
uni_v2,14,5,0.75,0.8333333333333334,0.7777777777777777
