split,model,k,full,top_k
12,virchow2,100,0.6666666666666666,0.6666666666666666
12,virchow2,200,0.6666666666666666,0.3333333333333333
12,virchow2,500,0.6666666666666666,0.6666666666666666
12,virchow2,1000,0.6666666666666666,0.3333333333333333
13,gigapath,20,0.5,0.5
13,gigapath,50,0.5,0.8333333333333334
13,gigapath,100,0.5,0.5
13,gigapath,200,0.5,0.5
13,gigapath,500,0.5,0.6666666666666666
13,gigapath,1000,0.5,0.5
13,uni2,20,0.5,0.3333333333333333
13,uni2,50,0.5,0.5
13,uni2,100,0.5,0.5
13,uni2,200,0.5,0.5
13,uni2,500,0.5,0.5
13,uni2,1000,0.5,0.5
13,virchow2,20,0.16666666666666666,0.6666666666666666
13,virchow2,50,0.16666666666666666,0.16666666666666666
13,virchow2,100,0.16666666666666666,0.16666666666666666
13,virchow2,200,0.16666666666666666,0.16666666666666666
13,virchow2,500,0.16666666666666666,0.16666666666666666
13,virchow2,1000,0.16666666666666666,0.16666666666666666
14,gigapath,20,0.5,0.5
14,gigapath,50,0.5,0.3333333333333333
14,gigapath,100,0.5,0.3333333333333333
14,gigapath,200,0.5,0.5
14,gigapath,500,0.5,0.5
14,gigapath,1000,0.5,0.5
14,uni2,20,0.5,0.5
14,uni2,50,0.5,0.5
14,uni2,100,0.5,0.5
14,uni2,200,0.5,0.5
14,uni2,500,0.5,0.5
14,uni2,1000,0.5,0.5
14,virchow2,20,0.5,0.3333333333333333
14,virchow2,50,0.5,0.3333333333333333
14,virchow2,100,0.5,0.3333333333333333
14,virchow2,200,0.5,0.3333333333333333
14,virchow2,500,0.5,0.3333333333333333
14,virchow2,1000,0.5,0.3333333333333333
15,gigapath,20,0.5,0.3333333333333333
15,gigapath,50,0.5,0.5
15,gigapath,100,0.5,0.5
15,gigapath,200,0.5,0.5
15,gigapath,500,0.5,0.5
15,gigapath,1000,0.5,0.5
15,uni2,20,0.5,0.5
15,uni2,50,0.5,0.6666666666666666
15,uni2,100,0.5,0.6666666666666666
15,uni2,200,0.5,0.5
15,uni2,500,0.5,0.5
15,uni2,1000,0.5,0.5
15,virchow2,20,0.5,0.16666666666666666
15,virchow2,50,0.5,0.16666666666666666
15,virchow2,100,0.5,0.5
15,virchow2,200,0.5,0.5
15,virchow2,500,0.5,0.5
15,virchow2,1000,0.5,0.5
16,gigapath,20,0.5,0.5
16,gigapath,50,0.5,0.5
16,gigapath,100,0.5,0.5
16,gigapath,200,0.5,0.5
16,gigapath,500,0.5,0.5
16,gigapath,1000,0.5,0.5
16,uni2,20,0.6666666666666666,0.16666666666666666
16,uni2,50,0.6666666666666666,0.6666666666666666
16,uni2,100,0.6666666666666666,0.5
16,uni2,200,0.6666666666666666,0.6666666666666666
16,uni2,500,0.6666666666666666,0.6666666666666666
16,uni2,1000,0.6666666666666666,0.6666666666666666
