model,aggregation,repeat,feature_dim,accuracy,balanced_accuracy,macro_f1
gigapath,mean_std_quantiles,33,7680,0.5,0.5079365079365079,0.4666666666666666
gigapath,mean_std_quantiles,34,7680,0.45,0.4682539682539682,0.41659125188536955
gigapath,mean_std_quantiles,35,7680,0.3,0.3095238095238095,0.29285714285714287
gigapath,mean_std_quantiles,36,7680,0.45,0.4603174603174603,0.4427350427350427
gigapath,mean_std_quantiles,37,7680,0.45,0.4603174603174603,0.44172494172494176
gigapath,mean_std_quantiles,38,7680,0.4,0.4126984126984126,0.3871794871794872
gigapath,mean_std_quantiles,39,7680,0.45,0.4603174603174603,0.4444444444444444
gigapath,mean_std_quantiles,40,7680,0.35,0.35714285714285715,0.3427350427350428
gigapath,mean_std_quantiles,41,7680,0.35,0.34920634920634913,0.33362193362193365
gigapath,mean_std_quantiles,42,7680,0.35,0.35714285714285715,0.3427350427350428
gigapath,mean_std_quantiles,43,7680,0.45,0.4603174603174603,0.4288600288600289
gigapath,mean_std_quantiles,44,7680,0.35,0.34920634920634913,0.3516483516483517
gigapath,mean_std_quantiles,45,7680,0.5,0.5079365079365079,0.48946608946608955
gigapath,mean_std_quantiles,46,7680,0.35,0.34920634920634913,0.3516483516483517
gigapath,mean_std_quantiles,47,7680,0.45,0.4682539682539682,0.4185185185185185
gigapath,mean_std_quantiles,48,7680,0.5,0.5158730158730158,0.4678733031674209
gigapath,mean_std_quantiles,49,7680,0.45,0.4682539682539682,0.41659125188536955
gigapath,mean_std_quantiles,50,7680,0.4,0.4047619047619047,0.3844155844155844
uni_v2,mean,1,1536,0.45,0.4523809523809524,0.45054945054945056
uni_v2,mean,2,1536,0.55,0.5476190476190476,0.5555555555555555
uni_v2,mean,3,1536,0.55,0.5555555555555555,0.5495726495726495
uni_v2,mean,4,1536,0.45,0.4444444444444444,0.4447415329768271
uni_v2,mean,5,1536,0.5,0.5,0.5051282051282051
uni_v2,mean,6,1536,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean,7,1536,0.45,0.4523809523809524,0.45054945054945056
uni_v2,mean,8,1536,0.5,0.5079365079365079,0.5018315018315019
uni_v2,mean,9,1536,0.6,0.6031746031746031,0.5952380952380952
uni_v2,mean,10,1536,0.45,0.4603174603174603,0.44688644688644685
uni_v2,mean,11,1536,0.6,0.611111111111111,0.6007326007326007
uni_v2,mean,12,1536,0.5,0.5,0.5018315018315019
uni_v2,mean,13,1536,0.45,0.4603174603174603,0.45483405483405476
uni_v2,mean,14,1536,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean,15,1536,0.5,0.5079365079365079,0.494017094017094
uni_v2,mean,16,1536,0.45,0.4523809523809524,0.4523809523809524
uni_v2,mean,17,1536,0.5,0.5,0.5018315018315019
uni_v2,mean,18,1536,0.45,0.4523809523809524,0.44688644688644685
uni_v2,mean,19,1536,0.5,0.5079365079365079,0.5
uni_v2,mean,20,1536,0.45,0.4603174603174603,0.447008547008547
uni_v2,mean,21,1536,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean,22,1536,0.5,0.5079365079365079,0.5
uni_v2,mean,23,1536,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean,24,1536,0.55,0.5634920634920635,0.5457875457875457
uni_v2,mean,25,1536,0.5,0.5,0.5018315018315019
uni_v2,mean,26,1536,0.55,0.5634920634920635,0.5427350427350427
uni_v2,mean,27,1536,0.5,0.5158730158730158,0.49206349206349204
uni_v2,mean,28,1536,0.6,0.611111111111111,0.6007326007326007
uni_v2,mean,29,1536,0.65,0.6587301587301587,0.6421356421356421
uni_v2,mean,30,1536,0.5,0.5158730158730159,0.4862914862914863
uni_v2,mean,31,1536,0.45,0.4603174603174603,0.44688644688644685
uni_v2,mean,32,1536,0.55,0.5555555555555556,0.5495726495726495
uni_v2,mean,33,1536,0.45,0.4603174603174603,0.4542124542124542
uni_v2,mean,34,1536,0.45,0.4523809523809524,0.45384615384615384
uni_v2,mean,35,1536,0.35,0.34920634920634924,0.35353535353535354
uni_v2,mean,36,1536,0.5,0.5079365079365079,0.494017094017094
uni_v2,mean,37,1536,0.6,0.611111111111111,0.594017094017094
uni_v2,mean,38,1536,0.45,0.4523809523809524,0.44688644688644685
uni_v2,mean,39,1536,0.55,0.5634920634920635,0.5427350427350427
uni_v2,mean,40,1536,0.6,0.6031746031746031,0.6007326007326007
uni_v2,mean,41,1536,0.4,0.39682539682539675,0.402930402930403
uni_v2,mean,42,1536,0.45,0.4523809523809524,0.44688644688644685
uni_v2,mean,43,1536,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean,44,1536,0.5,0.5,0.5018315018315019
uni_v2,mean,45,1536,0.5,0.5,0.48717948717948717
uni_v2,mean,46,1536,0.6,0.6031746031746031,0.6007326007326007
uni_v2,mean,47,1536,0.5,0.5079365079365079,0.5
uni_v2,mean,48,1536,0.5,0.5,0.5051282051282051
uni_v2,mean,49,1536,0.35,0.35714285714285715,0.3479853479853479
uni_v2,mean,50,1536,0.5,0.5079365079365079,0.48946608946608955
uni_v2,mean_std,1,3072,0.45,0.4523809523809524,0.44957264957264953
